speed,serial,camera,timestamp,latitude,longitude,horizontal_accuracy,gps_last_update_unix,notes,sourceFolder,flower?,boxes_xywh,confs,clss,GPSpoint
50.0,211622067750.0,RS3,20251031_194358_247549Z,39.6271535,-111.6369743,0.014,1761939838.0298913,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1213.132568359375, 105.71128845214844, 82.6365966796875, 106.05767822265625]]",[0.8370115160942078],[2.0],['[  39.62715774 -111.6369741 ]']
50.0,211622067750.0,RS3,20251031_194358_478452Z,39.6271528,-111.6369745,0.014,1761939838.4275584,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1182.5537109375, 51.61982727050781, 71.2623291015625, 87.75862121582031]]",[0.8036110401153564],[2.0],['[  39.62715762 -111.63697432]']
50.0,319522065401.0,RS2,20251031_194358_490326Z,39.6271528,-111.6369745,0.014,1761939838.4275584,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1897.6456298828125, 61.529441833496094, 43.092041015625, 82.02415466308594]]",[0.7268621325492859],[2.0],['[  39.62715765 -111.63697419]']
50.0,319522065401.0,RS2,20251031_194358_731417Z,39.6271528,-111.6369745,0.014,1761939838.4275584,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1839.175048828125, 31.035865783691406, 78.9981689453125, 58.071067810058594]]",[0.872618556022644],[2.0],['[  39.62715813 -111.6369741 ]']
50.0,211622067750.0,RS3,20251031_194358_763796Z,39.6271528,-111.6369745,0.014,1761939838.4275584,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1153.4395751953125, 23.962696075439453, 50.17919921875, 44.77923583984375]]",[0.557225227355957],[2.0],['[  39.62715818 -111.63697437]']
50.0,211622067750.0,RS3,20251031_194401_756255Z,39.6271459,-111.6369748,0.014,1761939841.626613,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1481.1959228515625, 213.593505859375, 33.013671875, 57.3013916015625]]",[0.2666895091533661],[0.0],['[  39.62714954 -111.63697383]']
50.0,319522065401.0,RS2,20251031_194404_245670Z,39.6271408,-111.6369747,0.014,1761939844.0299804,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[341.14178466796875, 918.68115234375, 26.099517822265625, 79.419677734375]]",[0.30146023631095886],[0.0],['[  39.62714225 -111.63697941]']
50.0,319522065401.0,RS2,20251031_194405_018587Z,39.6271391,-111.6369747,0.014,1761939844.826865,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[604.6361083984375, 263.60302734375, 31.13201904296875, 85.38270568847656]]",[0.37976130843162537],[0.0],['[  39.62714242 -111.63697948]']
50.0,211622067750.0,RS3,20251031_194407_007984Z,39.6271348,-111.6369747,0.014,1761939846.8257458,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1731.284423828125, 292.3290100097656, 31.56103515625, 54.84552001953125]]",[0.26235854625701904],[0.0],['[  39.627138   -111.63697316]']
50.0,211622067750.0,RS3,20251031_194407_265070Z,39.627134,-111.6369745,0.014,1761939847.228384,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1826.751708984375, 776.781005859375, 185.8558349609375, 313.15386962890625], [1635.609619140625, 191.75039672851562, 26.6217041015625, 51.76780700683594]]","[0.7913036942481995, 0.4029139578342438]","[2.0, 0.0]","['[  39.62713548 -111.63697381]', '[  39.6271378  -111.63697294]']"
50.0,211622067750.0,RS3,20251031_194407_530948Z,39.627134,-111.6369745,0.014,1761939847.228384,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1770.4034423828125, 575.6373291015625, 297.756103515625, 249.29214477539062], [1594.885498046875, 136.90855407714844, 20.8231201171875, 46.443092346191406]]","[0.9186503887176514, 0.318092405796051]","[2.0, 0.0]","['[  39.62713591 -111.63697364]', '[  39.62713823 -111.63697287]']"
50.0,211622067750.0,RS3,20251031_194407_740853Z,39.6271332,-111.6369745,0.014,1761939847.6265757,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1638.0107421875, 381.23876953125, 285.2161865234375, 197.5244140625], [1642.760986328125, 379.57183837890625, 269.869873046875, 196.98348999023438]]","[0.8823356628417969, 0.5727553963661194]","[2.0, 2.0]","['[  39.62713572 -111.63697358]', '[  39.62713573 -111.63697357]']"
50.0,211622067750.0,RS3,20251031_194408_006756Z,39.6271332,-111.6369745,0.014,1761939847.6265757,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1548.11376953125, 235.63319396972656, 162.0557861328125, 152.64773559570312]]",[0.8585324287414551],[2.0],['[  39.62713644 -111.63697349]']
50.0,211622067750.0,RS3,20251031_194408_247931Z,39.6271322,-111.6369745,0.014,1761939848.030423,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1460.6123046875, 141.1590576171875, 132.8944091796875, 127.75655364990234], [1643.302001953125, 531.9937744140625, 40.7645263671875, 83.24444580078125]]","[0.8664711713790894, 0.5040937662124634]","[2.0, 0.0]","['[  39.62713608 -111.6369735 ]', '[  39.62713443 -111.63697372]']"
50.0,211622067750.0,RS3,20251031_194408_507356Z,39.6271314,-111.6369745,0.014,1761939848.4258115,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1408.1961669921875, 86.54171752929688, 110.191162109375, 104.16655731201172], [1551.26953125, 405.244873046875, 31.5809326171875, 76.20108032226562]]","[0.8314540982246399, 0.3936499357223511]","[2.0, 0.0]","['[  39.62713581 -111.63697351]', '[  39.62713406 -111.63697374]']"
50.0,211622067750.0,RS3,20251031_194408_781026Z,39.6271314,-111.6369745,0.014,1761939848.4258115,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1340.54296875, 48.11659240722656, 112.9244384765625, 87.7388916015625]]",[0.7478737235069275],[2.0],['[  39.62713626 -111.63697365]']
50.0,211622067750.0,RS3,20251031_194409_024617Z,39.6271305,-111.6369744,0.014,1761939848.8282952,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1288.2685546875, 22.56092071533203, 76.32275390625, 41.55549621582031]]",[0.4230530858039856],[2.0],['[  39.62713592 -111.63697363]']
50.0,211622067750.0,RS3,20251031_194409_518546Z,39.6271297,-111.6369744,0.014,1761939849.2341964,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1556.353271484375, 273.35467529296875, 35.2974853515625, 67.845458984375]]",[0.2610750198364258],[0.0],['[  39.62713296 -111.63697335]']
